metric,sym0,sym1,sym2,sym3,sym4,z_sym2_vs_others,abs_z_sym2
label_40_dist.p1,0.6957021489255373,0.5210727969348659,0.6124895885390638,0.7300995335665501,0.49867149758454105,0.010757014047107988,0.010757014047107988
label_40_dist.p2,0.14406546726636682,0.226164001332667,0.18533025154089622,0.12804431117774445,0.23951149425287357,0.018057943689314387,0.018057943689314387
label_5_dist.p0,0.13378310844577712,0.20949733466600035,0.08753956355155755,0.041556305180742964,0.14250583041812426,-0.7408619051165417,0.7408619051165417
label_5_dist.p1,0.7435553056804931,0.6023571547559553,0.825156171914043,0.9182658670664667,0.7193819756788272,0.7018324337963883,0.7018324337963883
label_5_dist.p2,0.1226615858737298,0.18814551057804432,0.08730426453439946,0.040177827752790274,0.13811219390304846,-0.6570735754973022,0.6570735754973022
label_60_dist.p0,0.20310677994336165,0.2939551057804431,0.24751582542062303,0.17661585873729801,0.3063135099117108,0.044886946557388355,0.044886946557388355
label_60_dist.p1,0.6208833083458271,0.44513993003498253,0.532687822755289,0.6664959187073131,0.4188135099117108,-0.047871875910481906,0.047871875910481906
label_60_dist.p2,0.17600991171081126,0.2609049641845744,0.21979635182408797,0.15688822255538898,0.27487298017657835,0.05110915749450597,0.05110915749450597
log_amount_delta.max,16.5279600001996,16.490109971988076,17.252298609959865,16.298745018756563,16.108512478694188,5.352430772216188,5.352430772216188
log_amount_delta.mean,5.456647120144058,5.860398833624149,9.377402443856266,5.317970844704711,7.342337886376279,4.211079097265379,4.211079097265379
log_amount_delta.min,0.0,0.0,0.0,0.0,0.0,,
log_amount_delta.q05,0.0,0.0,0.0,0.0,0.0,,
log_amount_delta.q50,7.302496423727326,8.200013648175434,10.838227054478743,6.827629234502852,9.732165281200542,2.5501843543547134,2.5501843543547134
log_amount_delta.q95,12.058878049278908,11.795960004346156,13.31374741227989,11.431314027483245,12.466027663922565,3.6432680326916054,3.6432680326916054
log_amount_delta.std,5.044365695431856,4.8798531783909365,4.324989658969174,4.545143504617144,5.011973153341683,-2.7597940092943274,2.7597940092943274
mid_diff.abs_mean,8.394485288001411e-05,0.00014152946747334068,0.00010538279700494449,6.753124087390333e-05,0.00014736291135783873,-0.13493082892566174,0.13493082892566174
mid_diff.abs_q95,0.0006882312456986117,0.0006761325219741821,0.000462046204620431,0.0,0.0007194244604318278,-0.1955647686633353,0.1955647686633353
mid_diff.kurt,79.10140014738883,29.97830664602467,19.81694039346629,47.200593024544915,18.10654560009391,-1.0356714066627846,1.0356714066627846
mid_diff.mean,-8.255165911452468e-08,-5.710945859594266e-07,-3.6610363198466137e-07,-7.578041162813233e-08,-5.720911209587002e-07,-0.16539400150694217,0.16539400150694217
mid_diff.skew,1.9411306310528107,0.726686846580632,0.3014440943364318,0.35583203512792105,0.3218761481057181,-0.813846574575174,0.813846574575174
mid_diff.std,0.0002743024782534622,0.00033816229356265826,0.00021426935616812462,0.0003863591259327601,0.00031792869941675345,-2.8533606269581595,2.8533606269581595
midprice.max,0.07443718228031959,0.10032154340835997,0.08609423363521729,0.08896396396396389,0.09290214735759306,-0.3248501882257616,0.3248501882257616
midprice.mean,-0.0005155741710394366,-0.0011070416412275665,-0.002605050099184703,-0.0009290401157102009,-0.0015543048329120768,-4.23551878747929,4.23551878747929
midprice.min,-0.04750346740638012,-0.09108210984230569,-0.05765274174792023,-0.07381889763779526,-0.061584051724137834,0.6768077511262103,0.6768077511262103
midprice.q05,-0.02027925531914887,-0.033248891703609784,-0.02800435019032088,-0.029540481400437635,-0.031621047369079,0.1330579051851533,0.1330579051851533
midprice.q50,-0.0010737294201861314,-0.0008259911894273886,-0.0058304443744089385,-0.0012195121951219523,-0.005463024650233184,-1.9187127146275897,1.9187127146275897
midprice.q95,0.02357784431137744,0.03499132446500863,0.035622810912140285,0.03132250580046425,0.045731056563500516,0.2153339187811495,0.2153339187811495
midprice.std,0.013124531085141425,0.02275162934895412,0.018622232089478892,0.01817524933114475,0.022801010908706013,-0.148249561308272,0.148249561308272
order_intensities.ca_intst.mean,4.334408042892134e-05,0.00014799087709883816,0.00016966553147795927,0.00015807888956323509,6.35692366152537e-05,1.3171658129054233,1.3171658129054233
order_intensities.ca_intst.std,0.00028267449429337344,0.0008411060336301915,0.0006203962652920422,0.0008558615399869879,0.00027534259548441577,0.19891381811024217,0.19891381811024217
order_intensities.cb_intst.mean,3.918442746219483e-05,0.00020243502372792752,0.00016160972376276346,0.00015288463661080375,6.27401367321875e-05,0.71392029921277,0.71392029921277
order_intensities.cb_intst.std,0.000271530342696637,0.0073091239433549626,0.0005728261578574064,0.0009068504746859809,0.00029907337356102403,-0.5481069349203324,0.5481069349203324
order_intensities.la_intst.mean,4.555302248567074e-05,0.00018622882598370464,0.00022350934374989914,0.00018524059233006166,8.477191492084227e-05,1.5851747552289466,1.5851747552289466
order_intensities.la_intst.std,0.0002421335942492227,0.0007095674719487263,0.0006671463696735261,0.0009299743239050125,0.0002862987033953052,0.4331702772481118,0.4331702772481118
order_intensities.lb_intst.mean,4.962109223166195e-05,0.00024312828534103897,0.0002361066441487391,0.000187373656750533,8.752685986220892e-05,1.2214776381469987,1.2214776381469987
order_intensities.lb_intst.std,0.00020568820457529663,0.010736073953619753,0.0006328387413421498,0.0009082862344648447,0.00031889129675902997,-0.5414322386181194,0.5414322386181194
order_intensities.ma_intst.mean,6.690266664507254e-05,0.0002685986182692034,0.00025174246012037827,0.0001859669144862513,9.0742307817015e-05,1.2302965304312716,1.2302965304312716
order_intensities.ma_intst.std,0.0003517827996985858,0.0012677786550956422,0.0008214447890108868,0.0012236940237280221,0.0003099366942920726,0.07238184628936781,0.07238184628936781
order_intensities.mb_intst.mean,6.050809471807306e-05,0.00024277457446129425,0.00023141270846019078,0.0001792043803621812,8.638291402002113e-05,1.2230669444363833,1.2230669444363833
order_intensities.mb_intst.std,0.00040445003994484766,0.0012609850487043553,0.0008336437970659653,0.001274667920145675,0.0003245293126307957,0.03863587221014431,0.03863587221014431
pct_60tick_move_gt_0.1pct,0.36965892053973015,0.5413105947026486,0.45789813426620024,0.325868315842079,0.56593994669332,0.06896631186430563,0.06896631186430563
spread1.max,-0.988110964332893,-0.9834313201496526,-0.9914020405823685,-0.9908675799086758,-0.9923839458413927,-0.7940078579618524,0.7940078579618524
spread1.mean,-0.9992251195219745,-0.9992544756711237,-0.9997292633932885,-0.9976522882215851,-0.9994377345594131,-1.1613332736868067,1.1613332736868067
spread1.min,-0.9993506493506493,-0.9995073891625617,-0.9999390726862853,-0.9980314960629921,-0.9998969178435214,-1.0584357891089151,1.0584357891089151
spread1.q05,-0.9993368700265252,-0.9994890137966274,-0.9999310820124051,-0.9978678038379531,-0.9998885793871866,-1.0271687094736186,1.0271687094736186
spread1.q50,-0.9992774566473989,-0.9994419642857142,-0.9998395121168352,-0.9976525821596245,-0.999635878140551,-1.0610778014282574,1.0610778014282574
spread1.q95,-0.9985974754558206,-0.9984126984126983,-0.9991588785046729,-0.9975186104218361,-0.9982790764376883,-2.3315838245599467,2.3315838245599467
spread1.std,0.00024865385971531163,0.00039651271011140123,0.00028702582011353356,0.00023769640040994885,0.0005503176069517447,-0.5595197028311167,0.5595197028311167
totalasize.max,0.4502411851851852,0.636120638408131,0.8627162157096605,1.2488529323874655,0.21185572552544837,0.5883244800401268,0.5883244800401268
totalasize.mean,0.1332219552860144,0.22830947368996593,0.28398126515742494,0.38421408273806373,0.07136535029411124,0.6756161380086296,0.6756161380086296
totalasize.min,0.022974074074074074,0.0,0.07989438184307228,0.0707954535810008,0.01767999599083526,1.9854562601348782,1.9854562601348782
totalasize.q05,0.06618466666666667,0.09039492014145624,0.16145066531153976,0.1957403724489486,0.0351830410096924,1.070166381210869,1.070166381210869
totalasize.q50,0.12037785185185185,0.19452071422845013,0.2586128205615885,0.33771913976239,0.06603011950186258,0.7739011223857418,0.7739011223857418
totalasize.q95,0.26297255555555554,0.46827379660626267,0.5067255004462821,0.7068936236436937,0.1251849056400751,0.5278722103270451,0.5278722103270451
totalasize.std,0.059547280500798945,0.12097950448347104,0.11262369877310051,0.17019941564488814,0.02816106087252704,0.3261103883103927,0.3261103883103927
totalbsize.max,0.1324484074074074,5.141672871900266,0.33087230323377126,0.608925107319772,0.09634774889302898,-0.5502937565614333,0.5502937565614333
totalbsize.mean,0.03696218261833589,0.10200738615679897,0.1548933055943554,0.20871492876316403,0.03636244063264057,0.8372689837801756,0.8372689837801756
totalbsize.min,0.004962962962962963,0.0083992048071108,0.0330533767717487,0.027425179995846687,0.006725128563220881,2.337750986812684,2.337750986812684
totalbsize.q05,0.015744444444444443,0.029555462712558007,0.08127929986423495,0.10326193486067013,0.018087042945579217,1.1021106621963788,1.1021106621963788
totalbsize.q50,0.032907407407407406,0.08503890548184935,0.15184856703147867,0.19534882646813254,0.03489151074474391,0.9829587811548738,0.9829587811548738
totalbsize.q95,0.06984444444444445,0.20314019035871467,0.24239142965949048,0.3564360096605783,0.056685756811990486,0.5848883029839758,0.5848883029839758
totalbsize.std,0.016879032941610774,0.16158397684543319,0.04874346056652627,0.08041522460996767,0.01252196304656925,-0.3162201323467735,0.3162201323467735
volume_delta.max,0.037618518518518516,0.18875855612568665,0.06521425081874814,0.16440769142695721,0.02364243134722052,-0.5212953651421861,0.5212953651421861
volume_delta.mean,0.00010022006265385827,0.0004027606353071864,0.000394284388046831,0.0003256341987622605,0.0001397896719600317,1.2089165464914886,1.2089165464914886
volume_delta.min,0.0,0.0,0.0,0.0,0.0,,
volume_delta.q05,0.0,0.0,0.0,0.0,0.0,,
volume_delta.q50,3.7037037037037037e-06,4.869104236006261e-05,0.00012310382410334712,1.3047183632657797e-05,3.539541349063622e-05,5.5036068428526335,5.5036068428526335
volume_delta.q95,0.00044074074074074073,0.0017772133110258168,0.001538797801291839,0.0013569070977964108,0.0005663266158501795,0.9089798854548282,0.9089798854548282
volume_delta.std,0.0004157151790581949,0.0014543086693337623,0.0010149118516476446,0.0015542441107231106,0.0003494856508962047,0.12707803194257877,0.12707803194257877
